skill,score,count,avg
robustness,1017.5,223,4.562780269058296
correctness,2138.0,487,4.3901437371663246
efficiency,841.0,182,4.6208791208791204
factuality,2689.5,604,4.452814569536423
commonsense,3243.0,702,4.619658119658119
comprehension,5365.25,1160,4.625215517241379
insightfulness,1301.0,296,4.39527027027027
completeness,2199.0,458,4.801310043668122
metacognition,622.0,148,4.202702702702703
readability,2194.0,448,4.897321428571429
conciseness,1327.0,325,4.0830769230769235
harmlessness,712.0,145,4.910344827586207
